name,circle_code,circle_cut,day,sells_commision,sells_comic,sells_artbook,sells_photobook_general,sells_novel,sells_game,sells_music,sells_goods,sells_handmade_crafts,sells_magazine,sells_photobook_cosplay,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,marketplace_link,fandom,other_fandom,rating,sampleworks_images
StarCatcher,F-59a,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/starcatcher.jpg,Both Days,False,True,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/celienaprisia,https://twitter.com/onlytoeight,,,Ensemble Stars!!,"Reverse: 1999, Hololive, Kingdom Hearts",GA,
Gaspol,F-59b (SAT),https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/gaspol.jpg,SAT,False,False,False,False,False,False,False,True,True,False,False,,fio_hori_,,,,omniscient reader’s viewpoint,"genshin impact, vtuber, heaven official blessing, frieren",GA,
Clonelsmerch,F-59b (SUN),https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/clonel.jpg,SUN,True,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/clxvercactus?igsh=amh5bmZiajRpY2Fp,,,,My little pony,"Object shows,ut/dr,& more!",PG,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ad9801a6-30e7-4e25-b7f2-6c426faa67bd/7ad8d422-c7ab-49c0-835b-9f16e427e5d1/F-59b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ad9801a6-30e7-4e25-b7f2-6c426faa67bd/5d83ebde-4584-46b6-8b31-458557056baa/F-59b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ad9801a6-30e7-4e25-b7f2-6c426faa67bd/f76fe040-1ff2-46de-af20-192c8731583e/F-59b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ad9801a6-30e7-4e25-b7f2-6c426faa67bd/d484b9b4-fd3d-4239-afa4-a42fecaa72b4/F-59b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ad9801a6-30e7-4e25-b7f2-6c426faa67bd/bb55b62f-562b-44cd-b0cd-7864dcef8c34/F-59b (SUN).png']"
Nikisolosgoku,F-60a (SAT),https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/nikisolosgoku.jpg,SAT,True,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/nikisolosgoku?igsh=MWpsdHBlb3BudGlqdQ&utm_source=qr,,,,Hazbin Hotel,"Formula 1, Genshin Impact, My Little Pony, Spiderverse, Deadpool, Call of Duty, The Bear, Undertale, Deltarune, Tomorrow x Together, One Piece, Adveture Time, Mortal Kombat, Five Nights At Freddy’s, Fight Club, ",PG,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/6b9033ea-5c46-4c37-ad42-3ac31752f58e/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/0c8b305d-751f-4c04-840f-b0ba5dd589a3/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/47c1bbe1-be59-4daf-a2e0-543b48fd3ba6/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/aa93d84d-cb6f-4321-8702-026a1bf1fbbe/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/7e7d9e2f-3519-4069-b7b4-a7aa87f7b319/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/a90ac333-c002-4fe4-a55c-0245bd00c08d/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/63376166-c95c-40b6-a19e-296b3c9ef9e7/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/5cbf52cb-4485-40a2-8010-a75979969cdb/F-60a (SAT).png']"
Astaroth’s Cafe,F-60a (SUN),https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/astaroth.jpg,SUN,False,False,False,False,False,False,False,True,False,False,False,,https://Instagram.com/Astarr0th,,,,Hazbin Hotel,Genshin Impact,PG,
Possumably insane,F-60b (SAT),https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/possumably.jpg,SAT,False,False,False,False,False,False,False,True,True,False,False,,https://www.instagram.com/anyayasid?igsh=a3EzYTIzMmZkanVl&utm_source=qr,,,,Hazbin hotel,Good omens,PG,
Sunny Pavillion,F-60b (SUN),https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/sunny_pavilion.jpg,SUN,False,False,False,False,False,False,False,True,False,False,False,,https://instagram.com/sunnypavillion,https://twitter.com/sunnypavillion,,,"ATSV, mewkledreamy, aikatsu, original work (cat drawings)",Across the spider verse,PG,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/87de679a-67dd-49b8-9a1a-2d00a1677003/fbac6d66-4e86-40b4-aaf2-c2d8dc0ef39b/F-60b (SUN).jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/87de679a-67dd-49b8-9a1a-2d00a1677003/b5cd225b-d351-49c0-a56e-49d124ea8bf5/F-60b (SUN).jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/87de679a-67dd-49b8-9a1a-2d00a1677003/06b36bae-ec37-493c-8cdf-477f6f5c80f5/F-60b (SUN).jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/87de679a-67dd-49b8-9a1a-2d00a1677003/d9389450-29b4-4828-b941-c9ea0a9edb0d/F-60b (SUN).jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/87de679a-67dd-49b8-9a1a-2d00a1677003/e913f0f2-b0e1-4ed3-ae84-109bae4e2863/F-60b (SUN).jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/87de679a-67dd-49b8-9a1a-2d00a1677003/162ed013-fce4-4501-9e7d-909a1bb5fb12/F-60b (SUN).jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/87de679a-67dd-49b8-9a1a-2d00a1677003/55baef0f-61b7-4bf4-abfd-6b6676e569f1/F-60b (SUN).jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/87de679a-67dd-49b8-9a1a-2d00a1677003/ca21e9d1-13b4-45d8-b7a1-316f5e1c8477/F-60b (SUN).jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/87de679a-67dd-49b8-9a1a-2d00a1677003/a877fd46-4c54-40d0-a496-a6d0d8edfa0b/F-60b (SUN).jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/87de679a-67dd-49b8-9a1a-2d00a1677003/b879704c-d95b-4e48-834b-762dda1e21e9/F-60b (SUN).jpg']"
Sillay,G-01ab (SUN),https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/sillay.jpg,SUN,False,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/sillayclub?igsh=MWR3M3NhcWZ3YngzZQ==,,,,Scott pilgrim,"Hazbin hottel, Adventure time, panty and stocking with Garterbelt",PG,
Padepokan Pertemanan Perempuan (P3),G-02a,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/padepokan_pertemanan.jpg,Both Days,False,True,True,False,False,False,False,True,False,True,False,,,,,,Yuri / GL,"Atelier Serries, Blue Reflection, Nijisanji JP, Original, Path to Nowhere",PG,
Otome Bakery,G-02b,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/otome_bakery.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/yuuzurinn_?igsh=MWd0eWFpcHh5b2tjbg==,https://x.com/yuuzurinn_?t=vnJHrqloRKkwN4fYmdF7rQ&s=09,,,Ensemble Stars!!,"Paradox Live, Touken Ranbu, Mahoyaku",GA,
